detector,name,x_center,y_center,corner0_x,corner0_y,corner1_x,corner1_y,corner2_x,corner2_y,corner3_x,corner3_y
120,R30_S10,-296.25,127.0,-316.725,106.985,-275.77500000000003,106.985,-275.77500000000003,147.015,-316.725,147.015
121,R30_S11,-254.00000000000003,127.0,-274.475,106.985,-233.52500000000003,106.985,-233.52500000000003,147.015,-274.475,147.015
122,R30_S12,-211.75,127.0,-232.225,106.985,-191.27499999999998,106.985,-191.27499999999998,147.015,-232.225,147.015
123,R30_S20,-296.25,169.25,-316.725,149.235,-275.77500000000003,149.235,-275.77500000000003,189.26500000000001,-316.725,189.26500000000001
124,R30_S21,-254.00000000000003,169.25,-274.475,149.235,-233.52500000000003,149.235,-233.52500000000003,189.26500000000001,-274.475,189.26500000000001
125,R30_S22,-211.75,169.25,-232.225,149.235,-191.27499999999998,149.235,-191.27499999999998,189.26500000000001,-232.225,189.26500000000001
126,R31_S00,-169.25,84.75,-189.725,64.735,-148.77499999999998,64.735,-148.77499999999998,104.765,-189.725,104.765
127,R31_S01,-127.0,84.75,-147.475,64.735,-106.52499999999999,64.735,-106.52499999999999,104.765,-147.475,104.765
128,R31_S02,-84.75,84.75,-105.225,64.735,-64.27499999999999,64.735,-64.27499999999999,104.765,-105.225,104.765
129,R31_S10,-169.25,127.0,-189.725,106.985,-148.77499999999998,106.985,-148.77499999999998,147.015,-189.725,147.015
130,R31_S11,-127.0,127.0,-147.475,106.985,-106.52499999999999,106.985,-106.52499999999999,147.015,-147.475,147.015
131,R31_S12,-84.75,127.0,-105.225,106.985,-64.27499999999999,106.985,-64.27499999999999,147.015,-105.225,147.015
132,R31_S20,-169.25,169.25,-189.725,149.235,-148.77499999999998,149.235,-148.77499999999998,189.26500000000001,-189.725,189.26500000000001
133,R31_S21,-127.0,169.25,-147.475,149.235,-106.52499999999999,149.235,-106.52499999999999,189.26500000000001,-147.475,189.26500000000001
134,R31_S22,-84.75,169.25,-105.225,149.235,-64.27499999999999,149.235,-64.27499999999999,189.26500000000001,-105.225,189.26500000000001
135,R32_S00,-42.25,84.75,-62.725,64.735,-21.775,64.735,-21.775,104.765,-62.725,104.765
136,R32_S01,0.0,84.75,-20.475,64.735,20.475,64.735,20.475,104.765,-20.475,104.765
137,R32_S02,42.25,84.75,21.775,64.735,62.725,64.735,62.725,104.765,21.775,104.765
138,R32_S10,-42.25,127.0,-62.725,106.985,-21.775,106.985,-21.775,147.015,-62.725,147.015
139,R32_S11,0.0,127.0,-20.475,106.985,20.475,106.985,20.475,147.015,-20.475,147.015
140,R32_S12,42.25,127.0,21.775,106.985,62.725,106.985,62.725,147.015,21.775,147.015
141,R32_S20,-42.25,169.25,-62.725,149.235,-21.775,149.235,-21.775,189.26500000000001,-62.725,189.26500000000001
142,R32_S21,0.0,169.25,-20.475,149.235,20.475,149.235,20.475,189.26500000000001,-20.475,189.26500000000001
143,R32_S22,42.25,169.25,21.775,149.235,62.725,149.235,62.725,189.26500000000001,21.775,189.26500000000001
144,R33_S00,84.75,84.75,64.275,64.735,105.22500000000001,64.735,105.22500000000001,104.765,64.275,104.765
145,R33_S01,127.0,84.75,106.525,64.735,147.47500000000002,64.735,147.47500000000002,104.765,106.525,104.765
146,R33_S02,169.25,84.75,148.775,64.735,189.72500000000002,64.735,189.72500000000002,104.765,148.775,104.765
147,R33_S10,84.75,127.0,64.275,106.985,105.22500000000001,106.985,105.22500000000001,147.015,64.275,147.015
148,R33_S11,127.0,127.0,106.525,106.985,147.47500000000002,106.985,147.47500000000002,147.015,106.525,147.015
149,R33_S12,169.25,127.0,148.775,106.985,189.72500000000002,106.985,189.72500000000002,147.015,148.775,147.015
150,R33_S20,84.75,169.25,64.275,149.235,105.22500000000001,149.235,105.22500000000001,189.26500000000001,64.275,189.26500000000001
151,R33_S21,127.0,169.25,106.525,149.235,147.47500000000002,149.235,147.47500000000002,189.26500000000001,106.525,189.26500000000001
152,R33_S22,169.25,169.25,148.775,149.235,189.72500000000002,149.235,189.72500000000002,189.26500000000001,148.775,189.26500000000001
153,R34_S00,211.75,84.75,191.275,64.735,232.22500000000002,64.735,232.22500000000002,104.765,191.275,104.765
154,R34_S01,254.0,84.75,233.525,64.735,274.475,64.735,274.475,104.765,233.525,104.765
155,R34_S02,296.25,84.75,275.775,64.735,316.72499999999997,64.735,316.72499999999997,104.765,275.775,104.765
156,R34_S10,211.75,127.0,191.275,106.985,232.22500000000002,106.985,232.22500000000002,147.015,191.275,147.015
157,R34_S11,254.0,127.0,233.525,106.985,274.475,106.985,274.475,147.015,233.525,147.015
158,R34_S12,296.25,127.0,275.775,106.985,316.72499999999997,106.985,316.72499999999997,147.015,275.775,147.015
159,R34_S20,211.75,169.25,191.275,149.235,232.22500000000002,149.235,232.22500000000002,189.26500000000001,191.275,189.26500000000001
160,R34_S21,254.0,169.25,233.525,149.235,274.475,149.235,274.475,189.26500000000001,233.525,189.26500000000001
161,R34_S22,296.25,169.25,275.775,149.235,316.72499999999997,149.235,316.72499999999997,189.26500000000001,275.775,189.26500000000001
162,R41_S00,-169.26000000000002,211.74,-189.615,191.745,-148.905,191.745,-148.905,231.735,-189.615,231.735
163,R41_S01,-127.01,211.74,-147.365,191.745,-106.655,191.745,-106.655,231.735,-147.365,231.735
164,R41_S02,-84.76,211.74,-105.11500000000001,191.745,-64.405,191.745,-64.405,231.735,-105.11500000000001,231.735
165,R41_S10,-169.26000000000002,253.99,-189.615,233.995,-148.905,233.995,-148.905,273.985,-189.615,273.985
166,R41_S11,-127.01,253.99,-147.365,233.995,-106.655,233.995,-106.655,273.985,-147.365,273.985
167,R41_S12,-84.76,253.99,-105.11500000000001,233.995,-64.405,233.995,-64.405,273.985,-105.11500000000001,273.985
168,R41_S20,-169.26000000000002,296.24,-189.615,276.245,-148.905,276.245,-148.905,316.235,-189.615,316.235
169,R41_S21,-127.01,296.24,-147.365,276.245,-106.655,276.245,-106.655,316.235,-147.365,316.235
170,R41_S22,-84.76,296.24,-105.11500000000001,276.245,-64.405,276.245,-64.405,316.235,-105.11500000000001,316.235
171,R42_S00,-42.260000000000005,211.74,-62.615,191.745,-21.905,191.745,-21.905,231.735,-62.615,231.735
172,R42_S01,-0.010000000000001563,211.74,-20.365000000000002,191.745,20.345,191.745,20.345,231.735,-20.365000000000002,231.735
173,R42_S02,42.239999999999995,211.74,21.884999999999998,191.745,62.595,191.745,62.595,231.735,21.884999999999998,231.735
174,R42_S10,-42.260000000000005,253.99,-62.615,233.995,-21.905,233.995,-21.905,273.985,-62.615,273.985
175,R42_S11,-0.010000000000001563,253.99,-20.365000000000002,233.995,20.345,233.995,20.345,273.985,-20.365000000000002,273.985
176,R42_S12,42.239999999999995,253.99,21.884999999999998,233.995,62.595,233.995,62.595,273.985,21.884999999999998,273.985
177,R42_S20,-42.260000000000005,296.24,-62.615,276.245,-21.905,276.245,-21.905,316.235,-62.615,316.235
178,R42_S21,-0.010000000000001563,296.24,-20.365000000000002,276.245,20.345,276.245,20.345,316.235,-20.365000000000002,316.235
179,R42_S22,42.239999999999995,296.24,21.884999999999998,276.245,62.595,276.245,62.595,316.235,21.884999999999998,316.235
180,R43_S00,84.74,211.74,64.38499999999999,191.745,105.095,191.745,105.095,231.735,64.38499999999999,231.735
181,R43_S01,126.99,211.74,106.63499999999999,191.745,147.345,191.745,147.345,231.735,106.63499999999999,231.735
182,R43_S02,169.23999999999998,211.74,148.885,191.745,189.595,191.745,189.595,231.735,148.885,231.735
183,R43_S10,84.74,253.99,64.38499999999999,233.995,105.095,233.995,105.095,273.985,64.38499999999999,273.985
184,R43_S11,126.99,253.99,106.63499999999999,233.995,147.345,233.995,147.345,273.985,106.63499999999999,273.985
185,R43_S12,169.23999999999998,253.99,148.885,233.995,189.595,233.995,189.595,273.985,148.885,273.985
186,R43_S20,84.74,296.24,64.38499999999999,276.245,105.095,276.245,105.095,316.235,64.38499999999999,316.235
187,R43_S21,126.99,296.24,106.63499999999999,276.245,147.345,276.245,147.345,316.235,106.63499999999999,316.235
188,R43_S22,169.23999999999998,296.24,148.885,276.245,189.595,276.245,189.595,316.235,148.885,316.235
189,R00_SG0,-212.23000000000002,-258.75,-192.235,-279.105,-192.235,-238.395,-232.225,-238.395,-232.22500000000002,-279.105
190,R00_SG1,-258.73,-212.23000000000002,-238.375,-192.235,-279.085,-192.235,-279.085,-232.22500000000002,-238.375,-232.22500000000002
191,R00_SW0,-214.23999999999998,-202.615,-193.885,-192.62,-234.595,-192.62,-234.595,-212.61,-193.885,-212.61
192,R00_SW1,-214.26000000000002,-225.885,-234.615,-235.88,-193.905,-235.88,-193.905,-215.89,-234.615,-215.89
193,R04_SG0,258.75,-212.23000000000002,279.105,-192.235,238.395,-192.235,238.395,-232.22500000000002,279.105,-232.22500000000002
194,R04_SG1,212.23000000000002,-258.73,192.235,-238.375,192.235,-279.085,232.22500000000002,-279.08500000000004,232.22500000000002,-238.375
195,R04_SW0,202.615,-214.24,192.62,-193.885,192.62,-234.595,212.61,-234.595,212.61,-193.885
196,R04_SW1,225.885,-214.26,235.88,-234.615,235.88,-193.905,215.89000000000001,-193.905,215.89,-234.615
197,R40_SG0,-258.75,212.23000000000002,-279.105,192.235,-238.395,192.235,-238.395,232.22500000000002,-279.105,232.22500000000002
198,R40_SG1,-212.23000000000002,258.73,-192.235,238.375,-192.235,279.085,-232.22500000000002,279.085,-232.22500000000002,238.375
199,R40_SW0,-202.615,214.23999999999998,-192.62,193.885,-192.62,234.595,-212.61,234.595,-212.61,193.885
200,R40_SW1,-225.885,214.26,-235.88,234.615,-235.88,193.905,-215.89,193.905,-215.89,234.615
201,R44_SG0,212.23000000000002,258.75,192.235,279.105,192.235,238.395,232.22500000000002,238.395,232.22500000000002,279.105
202,R44_SG1,258.73,212.23000000000002,238.375,192.235,279.085,192.235,279.085,232.22500000000002,238.375,232.22500000000002
203,R44_SW0,214.23999999999998,202.615,193.885,192.62,234.595,192.62,234.595,212.61,193.885,212.61
204,R44_SW1,214.26000000000002,225.885,234.615,235.88,193.905,235.88,193.905,215.89,234.615,215.89
