source_id,ra,dec,phot_g_mean_mag,plx,e_plx,astrometric_params_solved,astrometric_gof_al,phot_bp_rp_excess_factor,mean_mag_g_fov,median_mag_g_fov,std_dev_mag_g_fov,in_vari_long_period_variable,in_vari_eclipsing_binary,in_vari_classification_result,in_vari_rrlyrae,in_vari_cepheid,in_vari_planetary_transit,in_vari_short_timescale,in_vari_long_period_variable2,in_vari_eclipsing_binary2,in_vari_rotation_modulation,in_vari_ms_oscillator,in_vari_agn,in_vari_microlensing,in_vari_compact_companion,DDF,STABLE
3835193009763672704,150.66616830529142,1.3074161848606638,16.2333,0.4839942561684699,0.0618291,31,-0.40989986,1.1937761,,,,,,,,,,,,,,,,,,COSMOS,True
3835200019150295168,150.8196251218168,1.3709900968680877,17.77311,2.117839080657645,0.14165936,31,0.104185194,1.3694941,,,,,,,,,,,,,,,,,,COSMOS,True
3835204760793841792,151.27306992584772,1.3196812702650145,19.382908,3.0686126539614973,0.39288607,95,0.33809593,1.5201402,,,,,,,,,,,,,,,,,,COSMOS,True
3835208604789981568,151.0950334259973,1.4073412689301923,17.821163,1.6629343242618078,0.13880333,31,-0.36925602,1.3630607,,,,,,,,,,,,,,,,,,COSMOS,True
3835214999996232576,151.45523240199023,1.5460904417320835,14.239069,0.8854716581191024,0.024655115,31,-1.5160019,1.2002572,,,,,,,,,,,,,,,,,,COSMOS,True
3835215103075450496,151.40002914625163,1.5230980053962182,14.972771,8.627395822760562,0.03460916,31,0.88380826,1.390606,,,,,,,,,,,,,,,,,,COSMOS,True
3835219707280411392,150.998744167384,1.355756714752715,17.494553,1.9289179800793304,0.123512,31,0.63306284,1.3453248,,,,,,,,,,,,,,,,,,COSMOS,True
3835228984409730560,151.1627036929372,1.544511847260888,16.069143,0.5390742678490615,0.056061685,31,-1.1329038,1.1973206,,,,,,,,,,,,,,,,,,COSMOS,True
3835234924349330304,151.0613307854929,1.6901542460770935,18.460762,1.66131962234225,0.22387227,31,-1.1624433,1.3295784,,,,,,,,,,,,,,,,,,COSMOS,True
3835315983267388160,151.51422621475533,1.7395062078623331,14.982672,0.7567547447553192,0.03707989,31,0.15942644,1.2207379,,,,,,,,,,,,,,,,,,COSMOS,True
3835326806584931072,151.32387095522415,1.7362064477506778,16.263165,0.3117051958796932,0.059872936,31,-0.86622983,1.1927565,,,,,,,,,,,,,,,,,,COSMOS,True
3835328936888708224,151.37379538706082,1.8006944890493888,17.244568,1.573539156649951,0.10280322,31,0.1061023,1.3176078,,,,,,,,,,,,,,,,,,COSMOS,True
3835330105119815168,151.27401625228225,1.7664875389822057,15.582637,0.3418317546007882,0.040780805,31,-1.2306005,1.1953411,,,,,,,,,,,,,,,,,,COSMOS,True
